0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,125,295,120,160,270,275,350,380,105,205,105,205,253.5234996
125,0,170,135,285,395,400,475,505,230,330,230,330,268.5234996
295,170,0,305,455,565,570,645,675,400,500,400,500,438.5234996
120,135,305,0,280,390,395,470,500,225,325,225,325,263.5234996
160,285,455,280,0,110,115,190,220,55,155,55,155,413.5234996
270,395,565,390,110,0,5,80,110,165,265,165,265,523.5234996
275,400,570,395,115,5,0,75,105,170,270,170,270,528.5234996
350,475,645,470,190,80,75,0,30,245,345,245,345,603.5234996
380,505,675,500,220,110,105,30,0,275,375,275,375,633.5234996
105,230,400,225,55,165,170,245,275,0,100,0,100,358.5234996
205,330,500,325,155,265,270,345,375,100,0,100,0,458.5234996
105,230,400,225,55,165,170,245,275,0,100,0,100,358.5234996
205,330,500,325,155,265,270,345,375,100,0,100,0,458.5234996
253.5234996,268.5234996,438.5234996,263.5234996,413.5234996,523.5234996,528.5234996,603.5234996,633.5234996,358.5234996,458.5234996,358.5234996,458.5234996,0
